apt_seq	area_type	floor_band	n_trades_24m	last_deal_ym	last_price_manwon	last_price_per_m2	mean_price_per_m2_24m	price_source
11110-102	27.0	HIGH	2	202502.0	33000.0	1174.377224199288	1120.9964412811387	CELL_LAST
11110-102	27.0	LOW	0				1003.6317962581213	COMPLEX_MEAN
11110-102	27.0	MID	0				1003.6317962581213	COMPLEX_MEAN
11110-102	36.0	HIGH	0				1003.6317962581213	COMPLEX_MEAN
11110-102	36.0	LOW	0				1003.6317962581213	COMPLEX_MEAN
11110-102	36.0	MID	0				1003.6317962581213	COMPLEX_MEAN
11110-102	39.0	HIGH	0				1003.6317962581213	COMPLEX_MEAN
11110-102	39.0	LOW	0				1003.6317962581213	COMPLEX_MEAN
11110-102	39.0	MID	0				1003.6317962581213	COMPLEX_MEAN
11110-102	45.0	HIGH	2	202605.0	45000.0	1023.1923601637109	977.7171441564349	CELL_LAST
11110-102	45.0	LOW	0				1003.6317962581213	COMPLEX_MEAN
11110-102	45.0	MID	0				1003.6317962581213	COMPLEX_MEAN
11110-102	48.0	HIGH	6	202603.0	57500.0	1184.590028842192	1055.1435242411756	CELL_LAST
11110-102	48.0	LOW	1	202604.0	40000.0	857.6329331046312	857.6329331046312	CELL_LAST
11110-102	48.0	MID	9	202604.0	48800.0	1005.3564070869386	965.1905195261772	CELL_LAST
11110-105	54.0	HIGH	1	202602.0	40700.0	739.4622093023256	739.4622093023256	CELL_LAST
11110-105	54.0	LOW	0				739.4622093023256	COMPLEX_MEAN
11110-105	54.0	MID	0				739.4622093023256	COMPLEX_MEAN
11110-107	105.0	HIGH	2	202601.0	166000.0	1599.6916257107064	1618.9650187915581	CELL_LAST
11110-107	105.0	LOW	1	202411.0	153000.0	1474.414570685169	1474.414570685169	CELL_LAST
11110-107	105.0	MID	0				1591.759567558287	COMPLEX_MEAN
11110-107	117.0	HIGH	2	202605.0	186500.0	1590.4826880436635	1605.4067883336174	CELL_LAST
11110-107	117.0	LOW	0				1591.759567558287	COMPLEX_MEAN
11110-107	117.0	MID	1	202512.0	185000.0	1577.690602080846	1577.690602080846	CELL_LAST
11110-107	147.0	HIGH	1	202508.0	224000.0	1512.593693024512	1512.593693024512	CELL_LAST
11110-107	147.0	LOW	0				1591.759567558287	COMPLEX_MEAN
11110-107	147.0	MID	1	202602.0	254000.0	1720.6340604254165	1720.6340604254165	CELL_LAST
11110-112	84.0	HIGH	0				1120.0188634755955	COMPLEX_MEAN
11110-112	84.0	LOW	0				1120.0188634755955	COMPLEX_MEAN
11110-112	84.0	MID	1	202603.0	95000.0	1120.0188634755955	1120.0188634755955	CELL_LAST
